id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
7966,same as border,woven design,big border,multicolor,daily,default,woven design,woven design,default,no
7969,same as border,zari,big border,navy blue,daily,jacquard,zari woven,solid,solid,yes
7986,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,no
7987,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7991,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,no
7995,default,zari,big border,multicolor,party,default,same as saree,printed,default,no
8000,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,woven design,checked,no
8017,same as border,zari,big border,multicolor,party,tassels and latkans,default,printed,checked,no
8045,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8046,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
8049,same as saree,woven design,small border,pink,traditional,default,same as saree,zari woven,solid,no
8050,same as saree,zari,big border,multicolor,daily,tassels and latkans,default,printed,checked,no
8054,solid,no border,no border,green,party,jacquard,zari woven,zari woven,botanical,no
8085,same as border,zari,big border,default,party,jacquard,zari woven,solid,solid,no
8090,default,zari,big border,yellow,traditional,jacquard,default,zari woven,ethnic motif,no
8096,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8114,same as saree,temple border,small border,white,daily,default,same as saree,zari woven,default,no
8164,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
8167,same as saree,no border,small border,default,party,default,same as saree,solid,solid,no
8168,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8178,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8179,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8184,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8185,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8193,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8199,default,woven design,no border,green,traditional,tassels and latkans,same as saree,printed,peacock,no
8210,same as saree,zari,small border,white,traditional,default,zari woven,zari woven,default,no
8218,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8226,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8237,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
8255,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8256,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,yes
8273,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8276,same as border,zari,big border,default,traditional,jacquard,zari woven,zari woven,ethnic motif,no
8277,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8286,same as saree,zari,small border,cream,party,default,same as saree,zari woven,default,no
8294,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
8310,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8321,same as border,zari,big border,default,party,jacquard,zari woven,solid,solid,yes
8327,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
8332,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8333,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,no
8339,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
8340,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
8383,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8384,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8385,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
8390,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
8394,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8396,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
8398,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,floral,yes
8409,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8413,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
8414,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,no
8416,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8418,same as saree,no border,small border,default,party,default,same as saree,solid,solid,no
8422,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8423,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
8427,same as border,zari,big border,navy blue,daily,jacquard,zari woven,solid,solid,yes
8434,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
8438,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
8441,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,woven design,checked,no
8468,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8470,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8484,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
8494,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8495,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,no
8499,same as saree,zari,small border,cream,party,default,woven design,zari woven,ethnic motif,no
8508,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
8511,same as border,zari,big border,default,daily,jacquard,default,solid,solid,no
8517,same as saree,zari,small border,cream,party,default,same as saree,zari woven,default,no
8519,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8522,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8536,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,no
8556,same as saree,zari,big border,default,daily,tassels and latkans,zari woven,printed,checked,no
8583,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8587,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8588,same as saree,solid,big border,white,traditional,jacquard,woven design,woven design,floral,no
8598,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8599,same as saree,zari,small border,white,party,default,same as saree,zari woven,default,no
8607,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
8614,same as saree,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
8616,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,ethnic motif,yes
8620,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8624,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
8629,same as saree,zari,small border,cream,party,default,woven design,zari woven,elephant,no
8637,same as border,default,small border,default,party,default,zari woven,zari woven,applique,no
8638,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8653,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8655,same as saree,zari,small border,white,party,default,zari woven,zari woven,default,no
8661,same as saree,no border,small border,default,traditional,default,default,default,default,no
8663,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,no
8675,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8679,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,yes
8681,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8684,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,floral,no
8692,same as saree,solid,big border,white,traditional,default,same as saree,zari woven,default,no
8698,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
8699,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,no
8704,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
8705,same as saree,zari,small border,default,party,jacquard,woven design,zari woven,ethnic motif,no
8718,same as saree,zari,big border,multicolor,party,jacquard,woven design,zari woven,default,no
8736,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,yes
8738,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8750,same as saree,zari,big border,pink,party,tassels and latkans,same as saree,woven design,checked,no
8755,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8767,same as border,zari,big border,multicolor,party,tassels and latkans,default,printed,checked,no
8776,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
8785,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8794,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8797,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8799,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
8803,same as saree,temple border,big border,default,party,jacquard,zari woven,solid,solid,yes
8806,same as border,zari,big border,default,daily,jacquard,default,solid,solid,no
8807,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8809,same as saree,default,small border,default,party,default,default,default,default,no
8810,same as saree,woven design,small border,green,traditional,default,same as saree,zari woven,solid,no
8828,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
8836,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8842,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8850,same as border,zari,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
8851,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
8855,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8864,same as saree,zari,big border,multicolor,daily,tassels and latkans,zari woven,printed,checked,no
8868,same as saree,zari,small border,cream,party,jacquard,same as saree,zari woven,peacock,no
8882,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
8883,same as border,temple border,big border,default,party,jacquard,zari woven,solid,solid,yes
8887,same as border,temple border,big border,yellow,party,jacquard,zari woven,solid,solid,no
8893,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8894,same as saree,temple border,big border,navy blue,daily,jacquard,zari woven,solid,solid,no
8928,same as saree,woven design,small border,default,wedding,default,same as saree,printed,solid,no
8933,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8938,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
8951,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
8967,same as saree,temple border,big border,default,daily,jacquard,zari woven,solid,solid,yes
8986,same as saree,zari,big border,pink,daily,tassels and latkans,same as saree,woven design,checked,no
8995,same as saree,zari,big border,multicolor,daily,tassels and latkans,same as saree,woven design,checked,no
9001,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9011,solid,zari,big border,default,daily,jacquard,zari woven,solid,solid,no
9028,same as border,zari,big border,multicolor,daily,tassels and latkans,default,woven design,checked,no
9040,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,no
9043,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
9045,same as saree,default,small border,default,party,default,default,solid,solid,no
9057,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9062,same as border,default,small border,multicolor,party,default,same as saree,solid,solid,no
9079,same as border,zari,big border,multicolor,party,tassels and latkans,default,printed,checked,no
9090,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9093,same as border,temple border,big border,default,party,jacquard,zari woven,solid,solid,yes
9105,default,zari,big border,default,party,jacquard,default,zari woven,botanical,no
9114,same as saree,zari,small border,cream,party,default,woven design,zari woven,ethnic motif,no
9117,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9139,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9147,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,floral,yes
9150,default,zari,big border,default,traditional,jacquard,zari woven,zari woven,default,no
9156,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
9157,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,ethnic motif,no
9161,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9174,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9176,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
9177,same as border,zari,big border,default,traditional,jacquard,zari woven,zari woven,ethnic motif,no
9196,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9213,same as saree,temple border,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
9235,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
9236,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9238,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9250,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9257,same as saree,zari,big border,default,daily,tassels and latkans,zari woven,printed,checked,no
9262,default,zari,big border,default,traditional,jacquard,zari woven,zari woven,default,no
9267,same as border,default,small border,pink,party,default,same as saree,zari woven,floral,no
9270,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
9272,default,temple border,big border,multicolor,daily,tassels and latkans,same as saree,zari woven,default,no
9284,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9285,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,yes
9288,same as border,zari,big border,default,daily,jacquard,default,solid,solid,no
9294,same as border,woven design,small border,default,daily,default,same as saree,zari woven,default,no
9295,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,default,no
9324,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
9325,same as saree,zari,small border,white,traditional,default,same as saree,zari woven,default,no
9327,solid,zari,big border,multicolor,party,jacquard,default,printed,default,no
9333,same as saree,zari,big border,default,traditional,default,default,zari woven,default,no
9354,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9377,same as border,zari,small border,green,traditional,default,zari woven,zari woven,ethnic motif,no
9386,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9387,same as border,no border,no border,multicolor,traditional,jacquard,woven design,zari woven,default,no
9397,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,elephant,yes
9406,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9411,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9436,same as border,zari,small border,navy blue,party,jacquard,zari woven,solid,solid,yes
9438,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9440,same as saree,temple border,big border,default,daily,jacquard,zari woven,solid,solid,yes
9442,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9444,same as saree,zari,big border,white,daily,default,default,zari woven,default,no
9445,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9450,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,no
9469,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
9485,same as saree,zari,big border,multicolor,party,tassels and latkans,same as saree,woven design,checked,no
9491,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9499,same as saree,solid,small border,white,traditional,default,zari woven,zari woven,ethnic motif,no
9500,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
9517,same as border,zari,big border,pink,party,tassels and latkans,zari woven,zari woven,ethnic motif,no
9520,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9530,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9544,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
9545,same as saree,temple border,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
9567,same as saree,zari,small border,white,traditional,default,zari woven,zari woven,default,no
9568,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9572,solid,zari,big border,default,daily,jacquard,default,solid,solid,no
9573,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9578,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9584,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9596,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
9599,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9602,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
9613,same as saree,zari,big border,multicolor,daily,tassels and latkans,same as saree,printed,checked,no
9617,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9631,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9646,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
9651,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9666,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,yes
9678,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9691,default,zari,small border,yellow,traditional,jacquard,default,zari woven,ethnic motif,no
9711,same as saree,woven design,big border,default,party,jacquard,woven design,zari woven,peacock,no
9718,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,yes
9721,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9722,same as saree,zari,small border,white,traditional,default,zari woven,zari woven,default,no
9729,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9747,same as border,zari,big border,pink,party,tassels and latkans,zari woven,printed,checked,no
9748,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,yes
9750,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,floral,no
9754,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9759,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
9766,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
9771,same as border,woven design,big border,multicolor,traditional,default,same as saree,zari woven,ethnic motif,no
9789,same as saree,solid,big border,white,traditional,default,same as saree,zari woven,default,no
9800,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9803,same as border,default,small border,default,party,default,same as saree,zari woven,ethnic motif,no
9808,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
9818,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
9819,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
9834,default,zari,big border,default,traditional,jacquard,zari woven,zari woven,ethnic motif,no
9837,same as saree,zari,big border,multicolor,daily,tassels and latkans,zari woven,printed,checked,no
9850,default,zari,big border,pink,traditional,jacquard,same as saree,zari woven,ethnic motif,no
9852,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
9861,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9871,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9884,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9887,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9909,same as saree,solid,small border,cream,party,jacquard,woven design,woven design,floral,yes
9910,default,zari,big border,green,traditional,jacquard,default,zari woven,ethnic motif,no
9941,same as saree,zari,no border,white,party,default,zari woven,zari woven,default,no
9947,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,woven design,checked,no
9962,same as border,default,small border,yellow,party,default,same as saree,zari woven,elephant,no
9971,default,default,no border,multicolor,party,default,same as saree,default,default,no
9978,default,zari,big border,yellow,traditional,jacquard,same as saree,zari woven,ethnic motif,no
9980,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,floral,yes
9982,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
9986,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
9991,same as border,zari,small border,pink,traditional,tassels and latkans,same as saree,zari woven,ethnic motif,no
9992,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
9995,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
9999,same as border,zari,big border,default,party,jacquard,default,solid,solid,no
10005,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
10026,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,ethnic motif,no
10035,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10037,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10039,same as saree,zari,big border,multicolor,daily,tassels and latkans,default,printed,checked,no
10060,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
10104,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,botanical,no
10110,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10113,same as saree,zari,small border,cream,party,default,woven design,zari woven,peacock,no
10120,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
10127,same as border,temple border,big border,default,party,jacquard,zari woven,solid,solid,no
10129,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
10138,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
10169,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10174,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
10188,default,zari,big border,default,traditional,jacquard,default,zari woven,ethnic motif,no
10194,default,zari,big border,pink,party,jacquard,woven design,printed,default,no
10195,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,peacock,no
10201,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10204,default,zari,small border,default,traditional,jacquard,same as saree,zari woven,floral,no
10209,same as saree,woven design,small border,pink,party,default,default,zari woven,floral,no
10213,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,ethnic motif,no
10227,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10235,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10274,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,no
10283,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
10286,default,zari,big border,white,traditional,jacquard,same as saree,zari woven,floral,no
10295,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
10305,same as border,zari,big border,green,traditional,jacquard,zari woven,solid,solid,no
